tconst	başlıkTipi	öncelikliBaşlık	orjinalBaşlık	yetişkinFilmiMi	başlangıçYılı	bitişYılı	süre	tür	başlıkId	sıralama	başlık	ülke	dil	tip	özellikler	orjinalBaşlıkMı
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	18	Bialy Bóg	PL	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	19	Beli bog	RS	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	1	Deus Branco	BR	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	20	Белият бог	BG	bg	\N	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	21	Weißer Gott	DE	\N	tv	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	22	Hagen y yo	MX	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	23	Underdog	DE	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	24	Spitak Astvatz	AM	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	25	White God	FR	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	2	White God	SE	\N	festival	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	3	White God	BR	\N	alternative	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	4	Beyaz Tanri	TR	tr	\N	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	5	Dios blanco	AR	\N	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	6	Белый Бог	RU	\N	\N	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	7	White God	XWW	en	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	8	Beyaz Tanrı	TR	tr	imdbDisplay	\N	0
tt2844798	movie	White God	Fehér isten	0	2014	\N	121	Drama,Fantasy,Horror	tt2844798	9	White God	FI	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	10	Salem	PT	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	11	Salem	RS	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	1	Salem	BR	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	2	Salem	RO	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	3	Салем	RU	\N	\N	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	4	Salem	ES	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	5	Salem	US	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	6	Salem	HR	\N	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	7	Salem	BA	hr	imdbDisplay	\N	0
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	8	Salem	\N	\N	original	\N	1
tt2963254	tvSeries	Salem	Salem	0	2014	2017	60	Drama,Fantasy,Horror	tt2963254	9	Салем	BG	bg	\N	\N	0
tt3044778	short	Nevermore	Nevermore	0	2014	\N	11	Drama,Fantasy,Horror	tt3044778	1	Nevermore	ES	\N	\N	\N	0
tt3065234	tvEpisode	The Casket Girls	The Casket Girls	0	2014	\N	42	Drama,Fantasy,Horror	tt3065234	1	The Casket Girls	US	\N	\N	\N	0
tt3065244	tvEpisode	Après Moi, Le Déluge	Après Moi, Le Déluge	0	2014	\N	42	Drama,Fantasy,Horror	tt3065244	1	Après Moi, Le Déluge	US	\N	\N	\N	0
